id,zip,primary_city,state,county,timezone,latitude,longitude,country,estimated_population
29776,68001,Abie,NE,Butler County,America/Chicago,41.33,-96.94,US,0
29777,68002,Arlington,NE,Washington County,America/Chicago,41.45,-96.35,US,1922
29778,68003,Ashland,NE,Saunders County,America/Chicago,41.04,-96.37,US,3711
29779,68004,Bancroft,NE,Cuming County,America/Chicago,42.01,-96.57,US,815
29780,68005,Bellevue,NE,Sarpy County,America/Chicago,41.15,-95.92,US,19395
29781,68007,Bennington,NE,Douglas County,America/Chicago,41.36,-96.15,US,6539
29782,68008,Blair,NE,Washington County,America/Chicago,41.54,-96.13,US,10028
29783,68009,Blair,NE,Washington County,America/Chicago,41.54,-96.13,US,0
29784,68010,Boys Town,NE,Douglas County,America/Chicago,41.25,-96.13,US,456
29785,68014,Bruno,NE,Butler County,America/Chicago,41.28,-96.96,US,0
29786,68015,Cedar Bluffs,NE,Saunders County,America/Chicago,41.39,-96.6,US,910
29787,68016,Cedar Creek,NE,Cass County,America/Chicago,41.04,-96.09,US,0
29788,68017,Ceresco,NE,Saunders County,America/Chicago,41.05,-96.64,US,1508
29789,68018,Colon,NE,Saunders County,America/Chicago,41.29,-96.6,US,0
29790,68019,Craig,NE,Burt County,America/Chicago,41.78,-96.36,US,477
29791,68020,Decatur,NE,Burt County,America/Chicago,42,-96.25,US,618
29792,68022,Elkhorn,NE,Douglas County,America/Chicago,41.28,-96.23,US,14042
29793,68023,Fort Calhoun,NE,Washington County,America/Chicago,41.45,-96.02,US,2323
29794,68025,Fremont,NE,Dodge County,America/Chicago,41.44,-96.49,US,24335
29795,68026,Fremont,NE,Dodge County,America/Chicago,41.44,-96.49,US,677
29796,68028,Gretna,NE,Sarpy County,America/Chicago,41.14,-96.24,US,9147
29797,68029,Herman,NE,Washington County,America/Chicago,41.67,-96.21,US,778
29798,68030,Homer,NE,Dakota County,America/Chicago,42.32,-96.49,US,734
29799,68031,Hooper,NE,Dodge County,America/Chicago,41.61,-96.54,US,1521
29800,68033,Ithaca,NE,Saunders County,America/Chicago,41.16,-96.53,US,0
29801,68034,Kennard,NE,Washington County,America/Chicago,41.47,-96.2,US,756
29802,68036,Linwood,NE,Butler County,America/Chicago,41.41,-96.93,US,0
29803,68037,Louisville,NE,Cass County,America/Chicago,40.99,-96.16,US,1908
29804,68038,Lyons,NE,Burt County,America/Chicago,41.93,-96.47,US,1175
29805,68039,Macy,NE,Thurston County,America/Chicago,42.11,-96.36,US,825
29806,68040,Malmo,NE,Saunders County,America/Chicago,41.26,-96.72,US,0
29807,68041,Mead,NE,Saunders County,America/Chicago,41.22,-96.48,US,827
29808,68042,Memphis,NE,Saunders County,America/Chicago,41.09,-96.43,US,0
29809,68044,Nickerson,NE,Dodge County,,41.53,-96.47,US,578
29810,68045,Oakland,NE,Burt County,America/Chicago,41.83,-96.46,US,1533
29811,68046,Papillion,NE,Sarpy County,America/Chicago,41.15,-96.04,US,21562
29812,68047,Pender,NE,Thurston County,America/Chicago,42.11,-96.71,US,1457
29813,68048,Plattsmouth,NE,Cass County,America/Chicago,41,-95.89,US,10490
29814,68050,Prague,NE,Saunders County,America/Chicago,41.3,-96.8,US,562
29815,68055,Rosalie,NE,Thurston County,America/Chicago,42.05,-96.51,US,0
29816,68056,St Columbans,NE,Sarpy County,America/Chicago,41.09,-96.05,US,0
29817,68057,Scribner,NE,Dodge County,America/Chicago,41.66,-96.66,US,1354
29818,68058,South Bend,NE,Cass County,America/Chicago,41,-96.24,US,0
29819,68059,Springfield,NE,Sarpy County,America/Chicago,41.08,-96.13,US,2817
29820,68061,Tekamah,NE,Burt County,America/Chicago,41.77,-96.22,US,2127
29821,68062,Thurston,NE,Thurston County,America/Chicago,42.17,-96.69,US,0
29822,68063,Uehling,NE,Dodge County,America/Chicago,41.73,-96.5,US,0
29823,68064,Valley,NE,Douglas County,,41.31,-96.34,US,2831
29824,68065,Valparaiso,NE,Saunders County,America/Chicago,41.07,-96.83,US,1315
29825,68066,Wahoo,NE,Saunders County,America/Chicago,41.21,-96.62,US,4436
29826,68067,Walthill,NE,Thurston County,America/Chicago,42.14,-96.49,US,942
29827,68068,Washington,NE,Washington County,America/Chicago,41.39,-96.2,US,0
